code,name,cumulative_dividend_yield,price
601328,交通银行,37.3,7.53
601288,农业银行,34.2,5.2
601988,中国银行,34.04,5.37
601166,兴业银行,32.56,18.92
600015,华夏银行,32.11,7.75
601398,工商银行,31.85,6.8
600010,包钢股份,28.11,100.0
600000,浦发银行,27.88,10.13
600016,民生银行,27.33,100.0
600036,招商银行,26.1,38.51
000157,中联重科,25.59,7.0
600027,华电国际,24.75,5.41
000069,华侨城A,24.44,2.62
600028,中国石化,24.31,6.56
600048,保利地产,22.71,8.68
600011,华能国际,21.96,6.56
000651,格力电器,21.87,46.34
600008,首创股份,21.27,3.17
000333,美的集团,19.91,75.32
600033,福建高速,19.58,100.0
600009,上海机场,18.21,100.0
600018,上港集团,17.05,5.98
600019,宝钢股份,16.55,100.0
000002,万科A,16.11,100.0
000538,云南白药,15.51,58.05
601318,中国平安,13.11,50.71
601857,中国石油,12.55,8.77
000001,平安银行,10.98,11.43
000858,五粮液,9.53,136.99
600026,中远海能,9.52,11.34
